Date;Time;No.;PAR;Area;F;Fm;Y_PSII
28.08.24;11:11:56;1;0;1;0,2417;0,5652;0,572
28.08.24;11:12:57;2;0;1;0,2368;0,5466;0,567
28.08.24;11:13:58;3;15;1;0,2368;0,5338;0,556
28.08.24;11:14:58;4;20;1;0,2304;0,5147;0,552
28.08.24;11:15:58;5;24;1;0,2309;0,5088;0,546
28.08.24;11:16:59;6;43;1;0,3064;0,4025;0,239
28.08.24;11:17:59;7;48;1;0,3475;0,4593;0,243
28.08.24;11:18:59;8;52;1;0,35;0,4725;0,259
28.08.24;11:20:00;9;57;1;0,3358;0,4377;0,233
28.08.24;11:21:00;10;80;1;0,3225;0,4083;0,21
28.08.24;11:22:00;11;104;1;0,3054;0,3676;0,169
28.08.24;11:23:01;12;151;1;0,3034;0,3402;0,108
28.08.24;11:24:01;13;197;1;0,3093;0,3397;0,089
28.08.24;11:25:01;14;244;1;0,3088;0,323;0,044
28.08.24;11:26:02;15;337;1;0,302;0,3078;0,019
28.08.24;11:11:56;1;0;2;0,2118;0,4917;0,569
28.08.24;11:12:57;2;0;2;0,2064;0,4775;0,568
28.08.24;11:13:58;3;15;2;0,2005;0,4618;0,566
28.08.24;11:14:58;4;20;2;0,199;0,4456;0,553
28.08.24;11:15:58;5;24;2;0,1961;0,4407;0,555
28.08.24;11:16:59;6;43;2;0,2613;0,3696;0,293
28.08.24;11:17:59;7;48;2;0,2858;0,4029;0,291
28.08.24;11:18:59;8;52;2;0,2789;0,4108;0,321
28.08.24;11:20:00;9;57;2;0,2721;0,3828;0,289
28.08.24;11:21:00;10;80;2;0,2672;0,3623;0,263
28.08.24;11:22:00;11;104;2;0,2574;0,3333;0,228
28.08.24;11:23:01;12;151;2;0,251;0,2936;0,145
28.08.24;11:24:01;13;197;2;0,2525;0,2877;0,123
28.08.24;11:25:01;14;244;2;0,2534;0,274;0,075
28.08.24;11:26:02;15;337;2;0,252;0,2667;0,055
28.08.24;11:11:56;1;0;3;0,2461;0,5794;0,575
28.08.24;11:12:57;2;0;3;0,25;0,5745;0,565
28.08.24;11:13:58;3;15;3;0,2485;0,5716;0,565
28.08.24;11:14:58;4;20;3;0,2456;0,548;0,552
28.08.24;11:15:58;5;24;3;0,2441;0,5475;0,554
28.08.24;11:16:59;6;43;3;0,3314;0,4387;0,245
