Date;Time;No.;PAR;Area;F;Fm;Y_PSII
28.08.24;12:17:49;1;0;1;0,1225;0,175;0,3
28.08.24;12:18:50;2;0;1;0,099;0,1029;0
28.08.24;12:19:50;3;15;1;0,0961;0,127;0,243
28.08.24;12:20:51;4;20;1;0,0917;0,1201;0,237
28.08.24;12:21:51;5;24;1;0,0873;0,1152;0,243
28.08.24;12:22:52;6;43;1;0,0907;0,1044;0,131
28.08.24;12:23:52;7;48;1;0,0873;0,0975;0,106
28.08.24;12:24:52;8;52;1;0,0789;0,0961;0,179
28.08.24;12:25:53;9;57;1;0,0814;0,0912;0,108
28.08.24;12:26:53;10;80;1;0,073;0,0833;0,124
28.08.24;12:27:53;11;104;1;0,0755;0,0794;0
28.08.24;12:28:54;12;151;1;0,0784;0,0765;0
28.08.24;12:17:49;1;0;2;0,0858;0,1348;0,364
28.08.24;12:18:50;2;0;2;0,0711;0,0696;0
28.08.24;12:19:50;3;15;2;0,0598;0,0833;0,282
28.08.24;12:20:51;4;20;2;0,0603;0,0755;0,201
28.08.24;12:21:51;5;24;2;0,0583;0,0789;0,261
28.08.24;12:22:52;6;43;2;0,0603;0,073;0,174
28.08.24;12:23:52;7;48;2;0,0564;0,0681;0,173
28.08.24;12:24:52;8;52;2;0,0564;0,0642;0,122
28.08.24;12:25:53;9;57;2;0,0529;0,0574;0,077
28.08.24;12:26:53;10;80;2;0,0544;0,0593;0,083
28.08.24;12:27:53;11;104;2;0,0515;0,0539;0
28.08.24;12:28:54;12;151;2;0,0525;0,0505;0
28.08.24;12:17:49;1;0;3;0,0902;0,1466;0,385
28.08.24;12:18:50;2;0;3;0,0676;0,0716;0
28.08.24;12:19:50;3;15;3;0,0642;0,0961;0,332
28.08.24;12:20:51;4;20;3;0,0652;0,0931;0,3
28.08.24;12:21:51;5;24;3;0,0642;0,0848;0,243
28.08.24;12:22:52;6;43;3;0,0657;0,0775;0,152
28.08.24;12:23:52;7;48;3;0,0667;0,077;0,134
28.08.24;12:24:52;8;52;3;0,0662;0,076;0,129
28.08.24;12:25:53;9;57;3;0,0652;0,073;0,107
28.08.24;12:26:53;10;80;3;0,0672;0,0701;0
28.08.24;12:27:53;11;104;3;0,0657;0,0706;0,069
28.08.24;12:28:54;12;151;3;0,0647;0,0681;0
28.08.24;12:17:49;1;0;4;0,0814;0,1373;0,407
28.08.24;12:18:50;2;0;4;0,0662;0,0623;0
28.08.24;12:19:50;3;15;4;0,0637;0,0907;0,297
28.08.24;12:20:51;4;20;4;0,0637;0,0873;0,27
28.08.24;12:21:51;5;24;4;0,0608;0,0838;0,275
28.08.24;12:22:52;6;43;4;0,0662;0,0784;0,156
28.08.24;12:23:52;7;48;4;0,0642;0,0721;0,109
28.08.24;12:24:52;8;52;4;0,0652;0,0735;0,113
28.08.24;12:25:53;9;57;4;0,0637;0,0676;0
28.08.24;12:26:53;10;80;4;0,0642;0,0686;0,064
28.08.24;12:27:53;11;104;4;0,0637;0,0632;0
28.08.24;12:28:54;12;151;4;0,0632;0,0662;0
28.08.24;12:17:49;1;0;5;0,0922;0,1123;0,179
28.08.24;12:18:50;2;0;5;0,0873;0,0917;0,048
28.08.24;12:19:50;3;15;5;0,0892;0,1044;0,146
28.08.24;12:20:51;4;20;5;0,0902;0,1015;0,111
28.08.24;12:21:51;5;24;5;0,0882;0,0985;0,104
28.08.24;12:22:52;6;43;5;0,0946;0,0926;0
28.08.24;12:23:52;7;48;5;0,0936;0,0912;0
28.08.24;12:24:52;8;52;5;0,0922;0,0882;0
28.08.24;12:25:53;9;57;5;0,0873;0,0902;0
28.08.24;12:26:53;10;80;5;0,0887;0,0828;0
28.08.24;12:27:53;11;104;5;0,0907;0,0863;0
28.08.24;12:28:54;12;151;5;0,102;0,0922;0
28.08.24;12:17:49;1;0;6;0,0936;0,1152;0,187
28.08.24;12:18:50;2;0;6;0,0926;0,0971;0,045
28.08.24;12:19:50;3;15;6;0,0868;0,1054;0,177
28.08.24;12:20:51;4;20;6;0,0892;0,0975;0,085
28.08.24;12:21:51;5;24;6;0,0868;0,0966;0,102
28.08.24;12:22:52;6;43;6;0,0926;0,0912;0
28.08.24;12:23:52;7;48;6;0,0931;0,0858;0
28.08.24;12:24:52;8;52;6;0,0882;0,0868;0
28.08.24;12:25:53;9;57;6;0,0833;0,0814;0
28.08.24;12:26:53;10;80;6;0,0755;0,0745;0
28.08.24;12:27:53;11;104;6;0,0706;0,0681;0
28.08.24;12:28:54;12;151;6;0,0814;0,0755;0
28.08.24;12:17:49;1;0;7;0,0882;0,1025;0,139
28.08.24;12:18:50;2;0;7;0,0853;0,0877;0
28.08.24;12:19:50;3;15;7;0,0848;0,0951;0,108
28.08.24;12:20:51;4;20;7;0,0848;0,0946;0,104
28.08.24;12:21:51;5;24;7;0,0828;0,0946;0,124
28.08.24;12:22:52;6;43;7;0,1005;0,0931;0
28.08.24;12:23:52;7;48;7;0,1029;0,0887;0
28.08.24;12:24:52;8;52;7;0,101;0,0922;0
28.08.24;12:25:53;9;57;7;0,0995;0,0907;0
28.08.24;12:26:53;10;80;7;0,0971;0,0848;0
28.08.24;12:27:53;11;104;7;0,0961;0,0873;0
28.08.24;12:28:54;12;151;7;0,0936;0,0853;0
28.08.24;12:17:49;1;0;8;0,0794;0,0922;0,138
28.08.24;12:18:50;2;0;8;0,0745;0,0794;0,062
