"Dinophysis";"Dinophysis + phalacroma";"Dinophysis acuminata";"Dinophysis caudata";"Dinophysis tripos";"Dinophysis acuta";"Dinophysis sacculus";"Dinophysis fortii";"Dinophysis hastata + odiosa";"Code.Region";"Code_point_Libelle";"Year";"Month";"Date";"Heure";"Code.parametre";"Longitude";"Latitude";"ID.interne.passage";"Day";"Dinophysis_genus";"log_c";"true_count"
0;0;0;0;0;0;0;0;0;11;"At so";2007;1;2007-01-31;"10:00:00";"FLORTOT";1,4745046439;50,2312831163;5258752;31;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2007;3;2007-03-07;"13:40:00";"FLORTOT";1,4745046439;50,2312831163;5259851;66;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2007;4;2007-04-03;"12:45:00";"FLORTOT";1,4745046439;50,2312831163;5260528;93;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2007;4;2007-04-16;"11:06:00";"FLORTOT";1,4745046439;50,2312831163;5260847;106;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2007;5;2007-05-02;"12:00:00";"FLORTOT";1,4745046439;50,2312831163;5261236;122;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2007;6;2007-06-05;"14:55:00";"FLORTOT";1,4745046439;50,2312831163;5262270;156;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2007;6;2007-06-19;"14:55:00";"FLORTOT";1,4745046439;50,2312831163;5262682;170;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2007;7;2007-07-13;"11:05:00";"FLORTOT";1,4745046439;50,2312831163;5263619;194;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2007;7;2007-07-30;"12:32:00";"FLORTOT";1,4745046439;50,2312831163;5264261;211;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2007;8;2007-08-13;"12:45:00";"FLORTOT";1,4745046439;50,2312831163;5264711;225;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2007;8;2007-08-28;"11:40:00";"FLORTOT";1,4745046439;50,2312831163;5265139;240;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2007;9;2007-09-10;"11:50:00";"FLORTOT";1,4745046439;50,2312831163;5265761;253;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2007;10;2007-10-12;"12:37:00";"FLORTOT";1,4745046439;50,2312831163;5267977;285;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2007;10;2007-10-26;"11:28:00";"FLORTOT";1,4745046439;50,2312831163;5268518;299;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2007;11;2007-11-12;"12:05:00";"FLORTOT";1,4745046439;50,2312831163;5271819;316;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2007;11;2007-11-26;"12:00:00";"FLORTOT";1,4745046439;50,2312831163;5272403;330;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2007;12;2007-12-17;"16:00:00";"FLORTOT";1,4745046439;50,2312831163;5273423;351;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2008;1;2008-01-28;"14:52:00";"FLORTOT";1,4745046439;50,2312831163;5274821;28;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2008;2;2008-02-08;"12:05:00";"FLORTOT";1,4745046439;50,2312831163;5275533;39;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2008;3;2008-03-27;"14:50:00";"FLORTOT";1,4745046439;50,2312831163;5276506;87;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2008;4;2008-04-23;"13:42:00";"FLORTOT";1,4745046439;50,2312831163;5277434;114;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2008;5;2008-05-07;"13:10:00";"FLORTOT";1,4745046439;50,2312831163;5277931;128;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2008;5;2008-05-22;"13:48:00";"FLORTOT";1,4745046439;50,2312831163;5278312;143;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2008;6;2008-06-04;"12:50:00";"FLORTOT";1,4745046439;50,2312831163;5278620;156;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2008;6;2008-06-18;"12:30:00";"FLORTOT";1,4745046439;50,2312831163;5278925;170;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2008;7;2008-07-23;"15:30:00";"FLORTOT";1,4745046439;50,2312831163;5280331;205;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2008;8;2008-08-22;"16:05:00";"FLORTOT";1,4745046439;50,2312831163;5281579;235;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2008;9;2008-09-15;"12:10:00";"FLORTOT";1,4745046439;50,2312831163;5282430;259;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2008;10;2008-10-28;"10:50:00";"FLORTOT";1,4745046439;50,2312831163;60000221;302;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2008;11;2008-11-13;"10:55:00";"FLORTOT";1,4745046439;50,2312831163;60000326;318;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2008;12;2008-12-17;"14:45:00";"FLORTOT";1,4745046439;50,2312831163;60003682;352;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2009;1;2009-01-28;"12:40:00";"FLORTOT";1,4745046439;50,2312831163;60012240;28;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2009;2;2009-02-25;"12:00:00";"FLORTOT";1,4745046439;50,2312831163;60017805;56;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2009;3;2009-03-13;"13:33:00";"FLORTOT";1,4745046439;50,2312831163;60024364;72;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2009;3;2009-03-23;"10:13:00";"FLORTOT";1,4745046439;50,2312831163;60025745;82;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2009;4;2009-04-06;"10:25:00";"FLORTOT";1,4745046439;50,2312831163;60027925;96;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2009;4;2009-04-23;"11:30:00";"FLORTOT";1,4745046439;50,2312831163;60030712;113;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2009;5;2009-05-13;"15:15:00";"FLORTOT";1,4745046439;50,2312831163;60031562;133;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2009;5;2009-05-28;"15:20:00";"FLORTOT";1,4745046439;50,2312831163;60033364;148;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2009;6;2009-06-10;"14:20:00";"FLORTOT";1,4745046439;50,2312831163;60034403;161;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2009;6;2009-06-26;"15:47:00";"FLORTOT";1,4745046439;50,2312831163;60037023;177;0;0;0
