"Mesodinium rubrum";"Mesodinium";"Code.Region";"Code_point_Libelle";"Year";"Month";"Date";"Heure";"Code.parametre";"ID.interne.passage";"Day";"Mesodinium_genus";"log_c";"true_count"
0;0;11;"At so";2007;1;2007-01-31;"10:00:00";"FLORTOT";5258752;31;0;0;0
0;0;11;"At so";2007;3;2007-03-07;"13:40:00";"FLORTOT";5259851;66;0;0;0
0;0;11;"At so";2007;4;2007-04-03;"12:45:00";"FLORTOT";5260528;93;0;0;0
0;0;11;"At so";2007;4;2007-04-16;"11:06:00";"FLORTOT";5260847;106;0;0;0
0;0;11;"At so";2007;5;2007-05-02;"12:00:00";"FLORTOT";5261236;122;0;0;0
0;0;11;"At so";2007;6;2007-06-05;"14:55:00";"FLORTOT";5262270;156;0;0;0
0;0;11;"At so";2007;6;2007-06-19;"14:55:00";"FLORTOT";5262682;170;0;0;0
0;0;11;"At so";2007;7;2007-07-13;"11:05:00";"FLORTOT";5263619;194;0;0;0
0;0;11;"At so";2007;7;2007-07-30;"12:32:00";"FLORTOT";5264261;211;0;0;0
100;0;11;"At so";2007;8;2007-08-13;"12:45:00";"FLORTOT";5264711;225;100;2,00432137378264;1
600;0;11;"At so";2007;8;2007-08-28;"11:40:00";"FLORTOT";5265139;240;600;2,77887447200274;6
0;0;11;"At so";2007;9;2007-09-10;"11:50:00";"FLORTOT";5265761;253;0;0;0
0;0;11;"At so";2007;10;2007-10-12;"12:37:00";"FLORTOT";5267977;285;0;0;0
0;0;11;"At so";2007;10;2007-10-26;"11:28:00";"FLORTOT";5268518;299;0;0;0
0;0;11;"At so";2007;11;2007-11-12;"12:05:00";"FLORTOT";5271819;316;0;0;0
0;0;11;"At so";2007;11;2007-11-26;"12:00:00";"FLORTOT";5272403;330;0;0;0
0;0;11;"At so";2007;12;2007-12-17;"16:00:00";"FLORTOT";5273423;351;0;0;0
100;0;11;"At so";2008;1;2008-01-28;"14:52:00";"FLORTOT";5274821;28;100;2,00432137378264;1
0;100;11;"At so";2008;2;2008-02-08;"12:05:00";"FLORTOT";5275533;39;100;2,00432137378264;1
200;0;11;"At so";2008;3;2008-03-27;"14:50:00";"FLORTOT";5276506;87;200;2,30319605742049;2
0;0;11;"At so";2008;4;2008-04-23;"13:42:00";"FLORTOT";5277434;114;0;0;0
0;0;11;"At so";2008;5;2008-05-07;"13:10:00";"FLORTOT";5277931;128;0;0;0
0;0;11;"At so";2008;5;2008-05-22;"13:48:00";"FLORTOT";5278312;143;0;0;0
0;0;11;"At so";2008;6;2008-06-04;"12:50:00";"FLORTOT";5278620;156;0;0;0
0;0;11;"At so";2008;6;2008-06-18;"12:30:00";"FLORTOT";5278925;170;0;0;0
0;0;11;"At so";2008;7;2008-07-23;"15:30:00";"FLORTOT";5280331;205;0;0;0
0;0;11;"At so";2008;8;2008-08-22;"16:05:00";"FLORTOT";5281579;235;0;0;0
0;0;11;"At so";2008;9;2008-09-15;"12:10:00";"FLORTOT";5282430;259;0;0;0
0;0;11;"At so";2008;10;2008-10-28;"10:50:00";"FLORTOT";60000221;302;0;0;0
0;0;11;"At so";2008;11;2008-11-13;"10:55:00";"FLORTOT";60000326;318;0;0;0
0;0;11;"At so";2008;12;2008-12-17;"14:45:00";"FLORTOT";60003682;352;0;0;0
0;0;11;"At so";2009;1;2009-01-28;"12:40:00";"FLORTOT";60012240;28;0;0;0
0;0;11;"At so";2009;2;2009-02-25;"12:00:00";"FLORTOT";60017805;56;0;0;0
0;0;11;"At so";2009;3;2009-03-13;"13:33:00";"FLORTOT";60024364;72;0;0;0
0;0;11;"At so";2009;3;2009-03-23;"10:13:00";"FLORTOT";60025745;82;0;0;0
0;0;11;"At so";2009;4;2009-04-06;"10:25:00";"FLORTOT";60027925;96;0;0;0
100;0;11;"At so";2009;4;2009-04-23;"11:30:00";"FLORTOT";60030712;113;100;2,00432137378264;1
0;0;11;"At so";2009;5;2009-05-13;"15:15:00";"FLORTOT";60031562;133;0;0;0
0;0;11;"At so";2009;5;2009-05-28;"15:20:00";"FLORTOT";60033364;148;0;0;0
0;0;11;"At so";2009;6;2009-06-10;"14:20:00";"FLORTOT";60034403;161;0;0;0
0;0;11;"At so";2009;6;2009-06-26;"15:47:00";"FLORTOT";60037023;177;0;0;0
0;0;11;"At so";2009;7;2009-07-22;"13:00:00";"FLORTOT";60041088;203;0;0;0
0;0;11;"At so";2009;8;2009-08-05;"12:35:00";"FLORTOT";60042651;217;0;0;0
14900;0;11;"At so";2009;8;2009-08-19;"11:15:00";"FLORTOT";60044142;231;14900;4,17321541471489;149
0;0;11;"At so";2009;9;2009-09-07;"14:40:00";"FLORTOT";60045724;250;0;0;0
0;0;11;"At so";2009;10;2009-10-22;"15:20:00";"FLORTOT";60054202;295;0;0;0
0;0;11;"At so";2009;12;2009-12-01;"10:25:00";"FLORTOT";60061344;335;0;0;0
0;0;11;"At so";2009;12;2009-12-15;"11:00:00";"FLORTOT";60068444;349;0;0;0
0;0;11;"At so";2010;1;2010-01-21;"14:48:00";"FLORTOT";60075604;21;0;0;0
0;0;11;"At so";2010;3;2010-03-03;"13:15:00";"FLORTOT";60084562;62;0;0;0
0;0;11;"At so";2010;3;2010-03-16;"12:12:00";"FLORTOT";60085482;75;0;0;0
100;0;11;"At so";2010;4;2010-04-14;"13:33:00";"FLORTOT";60088683;104;100;2,00432137378264;1
0;0;11;"At so";2010;4;2010-04-28;"12:30:00";"FLORTOT";60089682;118;0;0;0
0;0;11;"At so";2010;5;2010-05-12;"11:45:00";"FLORTOT";60092183;132;0;0;0
0;0;11;"At so";2010;5;2010-05-28;"13:30:00";"FLORTOT";60099486;148;0;0;0
0;0;11;"At so";2010;6;2010-06-11;"11:50:00";"FLORTOT";60100882;162;0;0;0
0;0;11;"At so";2010;6;2010-06-25;"12:05:00";"FLORTOT";60102222;176;0;0;0
0;0;11;"At so";2010;7;2010-07-19;"18:25:00";"FLORTOT";60140292;200;0;0;0
0;0;11;"At so";2010;8;2010-08-12;"14:20:00";"FLORTOT";60142212;224;0;0;0
0;0;11;"At so";2010;9;2010-09-07;"12:10:00";"FLORTOT";60145692;250;0;0;0
0;0;11;"At so";2010;10;2010-10-07;"12:25:00";"FLORTOT";60147742;280;0;0;0
0;0;11;"At so";2010;11;2010-11-24;"13:24:00";"FLORTOT";60150532;328;0;0;0
0;0;11;"At so";2010;12;2010-12-21;"12:07:00";"FLORTOT";60151319;355;0;0;0
0;0;11;"At so";2011;1;2011-01-24;"15:22:00";"FLORTOT";60152635;24;0;0;0
0;0;11;"At so";2011;2;2011-02-21;"13:52:00";"FLORTOT";60184313;52;0;0;0
0;0;11;"At so";2011;3;2011-03-08;"13:50:00";"FLORTOT";60186913;67;0;0;0
0;0;11;"At so";2011;3;2011-03-31;"11:00:00";"FLORTOT";60188712;90;0;0;0
0;0;11;"At so";2011;4;2011-04-07;"15:05:00";"FLORTOT";60188715;97;0;0;0
0;0;11;"At so";2011;4;2011-04-19;"13:48:00";"FLORTOT";60188775;109;0;0;0
0;0;11;"At so";2011;5;2011-05-19;"13:50:00";"FLORTOT";60222533;139;0;0;0
0;0;11;"At so";2011;6;2011-06-01;"13:10:00";"FLORTOT";60223175;152;0;0;0
0;0;11;"At so";2011;7;2011-07-28;"11:15:00";"FLORTOT";60225194;209;0;0;0
0;0;11;"At so";2011;8;2011-08-18;"15:32:00";"FLORTOT";60226028;230;0;0;0
0;0;11;"At so";2011;9;2011-09-15;"14:40:00";"FLORTOT";60226938;258;0;0;0
0;0;11;"At so";2011;10;2011-10-17;"15:45:00";"FLORTOT";60228956;290;0;0;0
0;0;11;"At so";2011;11;2011-11-10;"11:34:00";"FLORTOT";60229856;314;0;0;0
0;0;11;"At so";2012;1;2012-01-10;"12:38:00";"FLORTOT";60233397;10;0;0;0
0;0;11;"At so";2012;2;2012-02-06;"11:29:00";"FLORTOT";60236522;37;0;0;0
0;0;11;"At so";2012;3;2012-03-09;"12:30:00";"FLORTOT";60237202;69;0;0;0
0;0;11;"At so";2012;3;2012-03-23;"12:30:00";"FLORTOT";60237705;83;0;0;0
100;0;11;"At so";2012;4;2012-04-03;"10:00:00";"FLORTOT";60237954;94;100;2,00432137378264;1
0;0;11;"At so";2012;5;2012-05-07;"13:35:00";"FLORTOT";60245388;128;0;0;0
0;0;11;"At so";2012;5;2012-05-23;"14:20:00";"FLORTOT";60247130;144;0;0;0
0;0;11;"At so";2012;6;2012-06-07;"14:55:00";"FLORTOT";60251348;159;0;0;0
0;0;11;"At so";2012;6;2012-06-20;"13:35:00";"FLORTOT";60255210;172;0;0;0
0;0;11;"At so";2012;7;2012-07-23;"15:40:00";"FLORTOT";60263871;205;0;0;0
0;0;11;"At so";2012;8;2012-08-08;"16:40:00";"FLORTOT";60266590;221;0;0;0
0;0;11;"At so";2012;9;2012-09-06;"16:00:00";"FLORTOT";60281050;250;0;0;0
0;0;11;"At so";2012;11;2012-11-14;"11:45:00";"FLORTOT";60296009;319;0;0;0
0;0;11;"At so";2013;1;2013-01-17;"15:15:00";"FLORTOT";60331732;17;0;0;0
0;0;11;"At so";2013;2;2013-02-12;"13:28:00";"FLORTOT";60337428;43;0;0;0
0;0;11;"At so";2013;3;2013-03-14;"13:00:00";"FLORTOT";60347893;73;0;0;0
0;0;11;"At so";2013;4;2013-04-10;"13:08:00";"FLORTOT";60350530;100;0;0;0
0;0;11;"At so";2013;4;2013-04-26;"12:30:00";"FLORTOT";60353589;116;0;0;0
0;0;11;"At so";2013;5;2013-05-16;"16:50:00";"FLORTOT";60357830;136;0;0;0
0;0;11;"At so";2013;5;2013-05-27;"14:15:00";"FLORTOT";60363930;147;0;0;0
0;0;11;"At so";2013;6;2013-06-10;"14:16:00";"FLORTOT";60372108;161;0;0;0
0;0;11;"At so";2013;6;2013-06-25;"14:20:00";"FLORTOT";60377290;176;0;0;0
0;0;11;"At so";2013;7;2013-07-22;"12:00:00";"FLORTOT";60388669;203;0;0;0
0;0;11;"At so";2013;8;2013-08-06;"13:00:00";"FLORTOT";60394668;218;0;0;0
0;0;11;"At so";2013;9;2013-09-04;"12:15:00";"FLORTOT";60403908;247;0;0;0
0;0;11;"At so";2013;10;2013-10-08;"14:50:00";"FLORTOT";60416828;281;0;0;0
0;0;11;"At so";2013;11;2013-11-18;"12:15:00";"FLORTOT";60433148;322;0;0;0
