"Day";"Fortnight";"Code_point_Libelle";"TEMP.med";"TEMP.mean";"SALI.med";"SALI.mean";"CHLOROA.med";"CHLOROA.mean"
1;1;"Antifer ponton pétrolier";8,99;8,31636363636364;31,1;30,3627272727273;0,75;0,737045454545455
2;1;"Antifer ponton pétrolier";8,99;8,31636363636364;31,1;30,3627272727273;0,75;0,737045454545455
3;1;"Antifer ponton pétrolier";8,99;8,31636363636364;31,1;30,3627272727273;0,75;0,737045454545455
4;1;"Antifer ponton pétrolier";8,99;8,31636363636364;31,1;30,3627272727273;0,75;0,737045454545455
5;1;"Antifer ponton pétrolier";8,99;8,31636363636364;31,1;30,3627272727273;0,75;0,737045454545455
6;1;"Antifer ponton pétrolier";8,99;8,31636363636364;31,1;30,3627272727273;0,75;0,737045454545455
7;1;"Antifer ponton pétrolier";8,99;8,31636363636364;31,1;30,3627272727273;0,75;0,737045454545455
8;1;"Antifer ponton pétrolier";8,99;8,31636363636364;31,1;30,3627272727273;0,75;0,737045454545455
9;1;"Antifer ponton pétrolier";8,99;8,31636363636364;31,1;30,3627272727273;0,75;0,737045454545455
10;1;"Antifer ponton pétrolier";8,99;8,31636363636364;31,1;30,3627272727273;0,75;0,737045454545455
11;1;"Antifer ponton pétrolier";8,99;8,31636363636364;31,1;30,3627272727273;0,75;0,737045454545455
12;1;"Antifer ponton pétrolier";8,99;8,31636363636364;31,1;30,3627272727273;0,75;0,737045454545455
13;1;"Antifer ponton pétrolier";8,99;8,31636363636364;31,1;30,3627272727273;0,75;0,737045454545455
14;1;"Antifer ponton pétrolier";8,99;8,31636363636364;31,1;30,3627272727273;0,75;0,737045454545455
15;2;"Antifer ponton pétrolier";8,13;8,06222222222222;31,7;30,2777777777778;0,41;0,559
16;2;"Antifer ponton pétrolier";8,13;8,06222222222222;31,7;30,2777777777778;0,41;0,559
17;2;"Antifer ponton pétrolier";8,13;8,06222222222222;31,7;30,2777777777778;0,41;0,559
18;2;"Antifer ponton pétrolier";8,13;8,06222222222222;31,7;30,2777777777778;0,41;0,559
19;2;"Antifer ponton pétrolier";8,13;8,06222222222222;31,7;30,2777777777778;0,41;0,559
20;2;"Antifer ponton pétrolier";8,13;8,06222222222222;31,7;30,2777777777778;0,41;0,559
21;2;"Antifer ponton pétrolier";8,13;8,06222222222222;31,7;30,2777777777778;0,41;0,559
22;2;"Antifer ponton pétrolier";8,13;8,06222222222222;31,7;30,2777777777778;0,41;0,559
23;2;"Antifer ponton pétrolier";8,13;8,06222222222222;31,7;30,2777777777778;0,41;0,559
24;2;"Antifer ponton pétrolier";8,13;8,06222222222222;31,7;30,2777777777778;0,41;0,559
25;2;"Antifer ponton pétrolier";8,13;8,06222222222222;31,7;30,2777777777778;0,41;0,559
26;2;"Antifer ponton pétrolier";8,13;8,06222222222222;31,7;30,2777777777778;0,41;0,559
27;2;"Antifer ponton pétrolier";8,13;8,06222222222222;31,7;30,2777777777778;0,41;0,559
28;2;"Antifer ponton pétrolier";8,13;8,06222222222222;31,7;30,2777777777778;0,41;0,559
29;3;"Antifer ponton pétrolier";7,965;7,69583333333333;30,05;29,7691666666667;0,59025;0,629708333333333
30;3;"Antifer ponton pétrolier";7,965;7,69583333333333;30,05;29,7691666666667;0,59025;0,629708333333333
31;3;"Antifer ponton pétrolier";7,965;7,69583333333333;30,05;29,7691666666667;0,59025;0,629708333333333
32;3;"Antifer ponton pétrolier";7,965;7,69583333333333;30,05;29,7691666666667;0,59025;0,629708333333333
33;3;"Antifer ponton pétrolier";7,965;7,69583333333333;30,05;29,7691666666667;0,59025;0,629708333333333
34;3;"Antifer ponton pétrolier";7,965;7,69583333333333;30,05;29,7691666666667;0,59025;0,629708333333333
35;3;"Antifer ponton pétrolier";7,965;7,69583333333333;30,05;29,7691666666667;0,59025;0,629708333333333
36;3;"Antifer ponton pétrolier";7,965;7,69583333333333;30,05;29,7691666666667;0,59025;0,629708333333333
37;3;"Antifer ponton pétrolier";7,965;7,69583333333333;30,05;29,7691666666667;0,59025;0,629708333333333
38;3;"Antifer ponton pétrolier";7,965;7,69583333333333;30,05;29,7691666666667;0,59025;0,629708333333333
39;3;"Antifer ponton pétrolier";7,965;7,69583333333333;30,05;29,7691666666667;0,59025;0,629708333333333
40;3;"Antifer ponton pétrolier";7,965;7,69583333333333;30,05;29,7691666666667;0,59025;0,629708333333333
41;3;"Antifer ponton pétrolier";7,965;7,69583333333333;30,05;29,7691666666667;0,59025;0,629708333333333
