"Code_point_Libelle";"Fortnight";"TEMP.med";"TEMP.mean";"SALI.med";"SALI.mean";"CHLOROA.med";"CHLOROA.mean"
"Antifer ponton pétrolier";1;8,99;8,31636363636364;31,1;30,3627272727273;0,73;0,727272727272727
"Antifer ponton pétrolier";2;8,13;8,06222222222222;31,7;30,2777777777778;0,41;0,523333333333333
"Antifer ponton pétrolier";3;7,965;7,69583333333333;30,05;29,7691666666667;0,57;0,604166666666667
"Antifer ponton pétrolier";4;7,37;7,38222222222222;30,55;30,24;0,85;0,762222222222222
"Antifer ponton pétrolier";5;8,055;7,95916666666667;30,68;30,785;1,12;1,49416666666667
"Antifer ponton pétrolier";6;8,36;8,28133333333333;32,24;31,92;1,52;2,50733333333333
"Antifer ponton pétrolier";7;9,255;8,91;31,59;31,51;1,515;2,11083333333333
"Antifer ponton pétrolier";8;10,35;10,39;33,01;32,6171428571429;2,015;2,52785714285714
"Antifer ponton pétrolier";9;11,87;11,365;31,245;31,9414285714286;4,505;5,19714285714286
"Antifer ponton pétrolier";10;12,57;12,3236363636364;32,6;32,4945454545455;2,17;3,614
"Antifer ponton pétrolier";11;13,93;14,004375;32,545;31,964375;4,86;5,294375
"Antifer ponton pétrolier";12;14,8;14,8073333333333;33,05;32,824;4,125;4,47571428571429
"Antifer ponton pétrolier";13;16,6;16,454;32,2;32,1653333333333;6,12;6,95666666666667
"Antifer ponton pétrolier";14;17,97;17,7242857142857;32,43;32,4185714285714;6,04;7,40666666666667
"Antifer ponton pétrolier";15;18,53;18,5388888888889;32,71;32,2433333333333;6,475;8,39875
"Antifer ponton pétrolier";16;19,345;19,3095454545455;32,67;32,3790909090909;8,325;11,5505
"Antifer ponton pétrolier";17;18,9;19,0510526315789;32,5;32,1373684210526;4,37;10,211875
"Antifer ponton pétrolier";18;18,535;18,6565;33,15;32,563;2,95;6,01777777777778
"Antifer ponton pétrolier";19;18,4;18,2784210526316;33,2;33,0194736842105;1,81;4,16388888888889
"Antifer ponton pétrolier";20;17,2;17,2526666666667;32,9;32,8426666666667;1,69;3,85357142857143
"Antifer ponton pétrolier";21;15,925;15,9277777777778;32,805;32,5233333333333;1,29;1,521875
"Antifer ponton pétrolier";22;14,65;14,6954545454545;32,45;32,7172727272727;1,1;1,63111111111111
"Antifer ponton pétrolier";23;13,295;13,4377777777778;32,92;32,1972222222222;0,805;0,842857142857143
"Antifer ponton pétrolier";24;11,63;11,815;32,115;32,1975;0,66;0,62
"Antifer ponton pétrolier";25;10,475;10,4021428571429;32,42;32,38;0,55;0,507142857142857
"Antifer ponton pétrolier";26;9,49;9,496;31,97;31,55;0,47;0,456
"Cabourg";1;8,45;8,21454545454545;32,6;32,2145454545455;0,71;0,778181818181818
"Cabourg";2;7,79;7,78153846153846;31,82;31,8323076923077;0,76;0,818333333333333
"Cabourg";3;7,63;7,40857142857143;31,655;31,5035714285714;1,065;1,04285714285714
"Cabourg";4;7,425;7,39071428571429;32,08;32,1571428571429;1,3;1,57230769230769
"Cabourg";5;7,58;7,624;31,99;32,0353333333333;1,1;1,158
