Date;Region;Site;Satellite;Main species;Comment;;;;;
20130724;Loire Atlantique;Loire estuary;L8;unknown;Brownish;;;;;
20130724;Vendée;Yeu island;L8;unknown;High NIR Rrs, maybe Noctiluca;;;;;
20130724;Vendée;Sables Olonne;L8;unknown;High NIR Rrs, maybe Noctiluca;;;;;
20130802;Vendée;St Jean de Monts;L8;unknown;Green, maybe Lepidodinium;;;;;
20130802;Charente Maritime;La Rochelle;L8;unknown;Greenish;;;;;
20130811;Charente Maritime;La Rochelle;L8;unknown;Green, very likely Lepidodinium;;;;;
20130825;Loire Atlantique;Loire estuary;L8;unknown;Greenish;;;;;
20130825;Vendée;Noirmoutier;L8;unknown;Greenish;;;;;
20130903;Loire Atlantique;La Turballe;L8;unknown;Green, maybe Lepidodinium;;;;;
20130903;Loire Atlantique;Loire estuary;L8;unknown;Green, maybe Lepidodinium;;;;;
20130903;Loire Atlantique;Bourgneuf - Noirmoutier;L8;unknown;Green, maybe Lepidodinium;;;;;
20130903;Vendée;Yeu island;L8;unknown;Green, maybe Lepidodinium;;;;;
20130903;Charente Maritime;La Rochelle;L8;unknown;Green, maybe Lepidodinium;;;;;
20130903;Charente Maritime;Charente estuary;L8;unknown;Green, maybe Lepidodinium;;;;;
20130910;Loire Atlantique;Loire estuary;L8;unknown;Greenish;;;;;
20140314;Vendée;St Jean de Monts;L8;unknown;Reddish, very likely Mesodinium, with some Noctiluca?;;;;;
20140314;Vendée;St Gilles Croix de Vie;L8;unknown;Reddish, very likely Mesodinium, with some Noctiluca?;;;;;
20140323;Charente Maritime;Oleron island;L8;unknown;Reddish, very likely Mesodinium;;;;;
20140704;Loire Atlantique;Vilaine estuary;L8;unknown;Green, maybe Lepidodinium;;;;;
20140704;Loire Atlantique;Loire estuary;L8;unknown;Greenish;;;;;
20140704;Vendée;St Jean de Monts;L8;unknown;Greenish;;;;;
20140711;Loire Atlantique;Loire estuary;L8;unknown;Greenish;;;;;
20140727;Loire Atlantique;Bourgneuf Bay;L8;unknown;Green, maybe Lepidodinium;;;;;
20140727;Vendée;St Jean de Monts;L8;unknown;Green, maybe Lepidodinium;;;;;
20150628;Loire Atlantique;Loire estuary;L8;unknown;Greenish / Brownish;;;;;
20150723;Loire Atlantique;Bourgneuf Bay;L8;unknown;Green, maybe Lepidodinium;;;;;
20150723;Vendée;St Jean de Monts;L8;unknown;Green, maybe Lepidodinium;;;;;
20150723;Charente Maritime;La Rochelle;L8;unknown;Greenish / Brownish;;;;;
20150723;Charente Maritime;Gironde estuary;L8;unknown;Greenish / Brownish;;;;;
20150729;Vendée;Bretignolles;S2;unknown;Green, maybe Lepidodinium;;;;;
20150801;Vendée;Bretignolles;S2;unknown;Green, maybe Lepidodinium;;;;;
20160716;Loire Atlantique;Vilaine bay;S2;Lepidodinium;Green;;;;;
20160716;Loire Atlantique;Vilaine bay;L8;Lepidodinium;Green;;;;;
20160716;Loire Atlantique;La Turballe;L8;Lepidodinium;Green;;;;;
20160716;Loire Atlantique;Loire estuary;L8;Lepidodinium;Green;;;;;
20160716;Loire Atlantique;Loire estuary;S2;Lepidodinium;Green;image manquante;;;;
20160716;Loire Atlantique;Bourgneuf Bay;L8;Lepidodinium;Green;;;;;
20160911;Loire Atlantique;Vilaine bay;L8;unknown;Dark red stripes;;;;;
20170409;Vendée;Sables d'Olonne;S2;Mesodinium;Dark red;pollen sur tout le golfe de Gascogne et les lacs landais;;;;
20170409;Charente Maritime;île Ré;S2;Mesodinium;Dark red;;;;;
20170412;Vendée;Sables d'Olonne;S2;Mesodinium;Dark red;;;;;
20170412;Charente Maritime;île Ré;S2;Mesodinium;Dark red;;;;;
20170412;Loire Atlantique;Loire estuary;S2;Mesodinium;Dark red;;;;;
20170414;Loire Atlantique;Loire estuary;L8;Mesodinium;Dark red;;;;;
20170414;Vendée;Noirmoutier;L8;Mesodinium;Dark red;;;;;
20170419;Vendée - Gironde;de Yeu à Soulac;S2;Mesodinium;Dark red;bloom très étendu du sud de l'île d'Yeu à l'estuaire de la Gironde;;;;
20170422;Loire Atlantique;Loire estuary;S2;Mesodinium;Dark red;;;;;
20170422;Vendée;Sables d'Olonne;S2;Mesodinium;Dark red;;;;;
20170422;Charente Maritime;île Ré;S2;Mesodinium;Dark red;;;;;
20170423;Loire Atlantique;Loire estuary;L8;Mesodinium;Dark red;;;;;
20170423;Vendée;Sables d'Olonne;L8;Mesodinium;Dark red;;;;;
20170423;Gironde;Gironde estuary;L8;Mesodinium;Dark red;;;;;
20170618;Gironde;Gironde estuary;S2;unknown;Greenish;;;;;
20170618;Charente Maritime;La Rochelle;S2;unknown;Greenish;;;;;
20170621;Charente Maritime;La Rochelle;S2;unknown;Greenish;;;;;
20170716;Loire Atlantique;Paimboeuf;S2;unknown;Greenish;;;;;
20170929;Vendée;La Tranche sur Mer;S2;unknown;Greenish / Brownish;;;;;
20170930;Vendée;La Tranche sur Mer;L8;unknown;Greenish / Brownish;;;;;
20170930;Charente Maritime;La Rochelle;L8;unknown;Greenish / Brownish;;;;;
20170930;Charente Maritime;La Palmyre;L8;unknown;Greenish / Brownish;;;;;
20171014;Vendée;Brem-s-Mer Sables Olonne;S2;unknown;Greenish / Brownish;;;;;
20180417;Loire Atlantique;Noirmoutier;S2;unknown;Reddish, very likely Mesodinium;;;;;
20180417;Vendée;St Gilles Croix de Vie;S2;unknown;Reddish, very likely Mesodinium;;;;;
20180417;Loire Atlantique;Noirmoutier;L8;unknown;Reddish, very likely Mesodinium;;;;;
20180417;Vendée;St Gilles Croix de Vie;L8;unknown;Reddish, very likely Mesodinium;;;;;
20180419;Vendée;St Gilles Croix de Vie;S2;unknown;Reddish, very likely Mesodinium;;;;;
20180419;Vendée;La Tranche sur Mer;L8;unknown;Reddish, very likely Mesodinium;;;;;
20180419;Charente Maritime;La Rochelle;L8;unknown;Reddish, very likely Mesodinium;;;;;
20180426;Vendée;Noirmoutier;L8;unknown;Dark red filaments;;;;;
20180711;Loire Atlantique;Quimiac;S2;unknown;Green, maybe Lepidodinium;;;;;
20180715;Loire Atlantique;Vilaine estuary;L8;unknown;Green, maybe Lepidodinium;;;;;
20180721;Loire Atlantique;Vilaine estuary;S2;unknown;Green, maybe Lepidodinium;;;;;
20180721;Loire Atlantique;Pont Mahé;S2;unknown;Green, maybe Lepidodinium;;;;;
20180722;Loire Atlantique;Vilaine estuary;L8;unknown;Green, maybe Lepidodinium;image manquante;;;;
20180726;Loire Atlantique;Loire estuary;S2;unknown;Green, maybe Lepidodinium;image manquante;;;;
20180731;Loire Atlantique;Vilaine estuary;S2;unknown;Green, maybe Lepidodinium;image manquante;;;;
20180731;Loire Atlantique;Quimiac;S2;unknown;Green, maybe Lepidodinium;image manquante;;;;
20180731;Loire Atlantique;Loire estuary;S2;unknown;Green, maybe Lepidodinium;image manquante;;;;
201800805;Loire Atlantique;Vilaine estuary;S2;unknown;Green, maybe Lepidodinium;;;;;
201800805;Loire Atlantique;Pont Mahé;S2;unknown;Green, maybe Lepidodinium;;;;;
201800805;Loire Atlantique;Loire estuary;S2;unknown;Green, maybe Lepidodinium;;;;;
201800805;Vendée;Tranche sur Mer;S2;unknown;Green, maybe Lepidodinium;;;;;
201800805;Vendée;Baie Aiguillon;S2;unknown;Green, maybe Lepidodinium;;;;;
201800805;Charente Maritime;La Rochelle;S2;unknown;Green, maybe Lepidodinium;;;;;
201800807;Charente Maritime;La Rochelle;S2;unknown;Green, maybe Lepidodinium;;;;;
201800809;Charente Maritime;La Rochelle;L8;unknown;Green, maybe Lepidodinium;;;;;
201800812;Charente Maritime;Fouras - Oleron;S2;unknown;Green, maybe Lepidodinium;;;;;
201800815;Charente Maritime;La Rochelle;S2;unknown;Green, maybe Lepidodinium;;;;;
201800816;Charente Maritime;La Rochelle - Oleron;L8;unknown;Green, maybe Lepidodinium;;;;;
201800816;Charente Maritime;Gironde estuary;L8;unknown;Green, maybe Lepidodinium;;;;;
201800817;Charente Maritime;Fouras - Gironde;S2;unknown;Green, maybe Lepidodinium;;;;;
201800820;Charente Maritime;off Gironde;S2;unknown;Green, maybe Lepidodinium;;;;;
201800822;Charente Maritime;Fouras - Gironde;S2;unknown;Green, maybe Lepidodinium;;;;;
201800901;Charente Maritime;Fouras - Oleron;S2;unknown;Green, maybe Lepidodinium;;;;;
201800901;Charente Maritime;Fouras - Oleron;L8;unknown;Green, maybe Lepidodinium;;;;;
201800910;Charente Maritime;Oleron;L8;unknown;Green, maybe Lepidodinium;;;;;
201800911;Charente Maritime;Oleron;S2;unknown;Green, maybe Lepidodinium;;;;;
201800914;Charente Maritime;La Rochelle;S2;unknown;Dark / reddish?;;;;;
201800917;Charente Maritime;La Rochelle;L8;unknown;Dark / reddish?;;;;;
20190419;Vendée;Notre Dame de Monts;S2;unknown;Reddish, very likely Mesodinium;;;;;
20190419;Vendée;St Gilles Croix de Vie;S2;unknown;Reddish, very likely Mesodinium;;;;;
20190420;Vendée;St Gilles Croix de Vie;L8;unknown;Reddish, very likely Mesodinium;;;;;
20190601;Loire Atlantique;Vilaine estuary;L8;Lepidodinium;Green;image manquante;;;;
20190616;Loire Atlantique;Vilaine estuary;L8;Lepidodinium;Green;image manquante;;;;
20190616;Loire Atlantique;Vilaine estuary;S2;Lepidodinium;Green;image manquante;;;;
20190616;Loire Atlantique;Quimiac;S2;Lepidodinium;Green;image manquante;;;;
20190621;Loire Atlantique;Vilaine estuary;S2;Lepidodinium;Green;;;;;
20190626;Loire Atlantique;Vilaine estuary;S2;Lepidodinium;Green;;;;;
20190626;Loire Atlantique;Quimiac;S2;Lepidodinium;Green;;;;;
20190701;Loire Atlantique;Vilaine estuary;S2;Lepidodinium;Green;;;;;
20190702;Loire Atlantique;Vilaine estuary;L8;Lepidodinium;Green;;;;;
