"Fortnight";"Year";"Code_point_Libelle";"latitude";"longitude";"ssr";"tcc";"u10";"v10"
1;2007;"Antifer ponton pétrolier";49,75;0,25;0;0,941174665;7,40793375;4,841736
1;2007;"Arcachon - Bouée 7";44,5;0;0;0,892237515;1,71799685;1,1850641
1;2007;"At so";50,25;1,5;0;0,9580822;7,4366585;3,9768331
1;2007;"Auger";45,75;0;0;0,9985351;2,2359916;1,66713335
1;2007;"Cabourg";49,25;0;0;0,93993866;4,19589545;3,28265335
1;2007;"Le Cornard";46;0;0;1;2,6301385;1,80493455
1;2007;"Loguivy";48,75;0;0;0,9896846;3,636461;2,89699775
1;2007;"Men er Roue";47,5;0;0;0,9778127;3,42549585;2,2155166
1;2007;"Ouest Loscolo";47,5;0;0;0,9778127;3,42549585;2,2155166
1;2007;"Point 1 Boulogne";50,75;1,5;0;0,97146477;8,12606225;3,8813598
1;2007;"Teychan bis";44,75;0;0;0,92292433;1,78298165;1,24714515
1;2007;"les Hébihens";48,75;0;0;0,9896846;3,636461;2,89699775
1;2008;"Antifer ponton pétrolier";49,75;0,25;2,3283064e-10;0,948956995;2,45501735;5,5815645
1;2008;"Arcachon - Bouée 7";44,5;0;2,3283064e-10;0,91155602;-0,318206815;2,2090746
1;2008;"At so";50,25;1,5;2,3283064e-10;0,9311492;1,9487005;4,87760265
1;2008;"Auger";45,75;0;2,3283064e-10;0,9150199;-0,32653924;3,4314506
1;2008;"Cabourg";49,25;0;2,3283064e-10;0,96256847;1,4786542;3,76618215
1;2008;"Le Cornard";46;0;2,3283064e-10;0,94183085;0,08076886;3,5755064
1;2008;"Loguivy";48,75;0;2,3283064e-10;0,990295;1,54531355;3,5097723
1;2008;"Men er Roue";47,5;0;2,3283064e-10;0,952817665;0,8507821;2,8496333
1;2008;"Ouest Loscolo";47,5;0;2,3283064e-10;0,952817665;0,8507821;2,8496333
1;2008;"Point 1 Boulogne";50,75;1,5;2,3283064e-10;0,941952885;2,709401;4,90324355
1;2008;"Teychan bis";44,75;0;2,3283064e-10;0,909572275;-0,61082165;2,31863165
1;2008;"les Hébihens";48,75;0;2,3283064e-10;0,990295;1,54531355;3,5097723
1;2009;"Antifer ponton pétrolier";49,75;0,25;0;0,76697235;-2,301395;0,15867725
1;2009;"Arcachon - Bouée 7";44,5;0;0;0,89191705;-0,53721483;-0,35498535
1;2009;"At so";50,25;1,5;0;0,773656;-1,45943115;-0,131147498
1;2009;"Auger";45,75;0;0;0,68730258;-1,67909385;-1,5116966
1;2009;"Cabourg";49,25;0;0;0,791540135;-1,28608565;0,479985935
1;2009;"Le Cornard";46;0;0;0,8084324;-2,08356665;-2,08918965
1;2009;"Loguivy";48,75;0;0;0,861688015;-0,920592665;0,037485651
1;2009;"Men er Roue";47,5;0;0;0,83489233;-1,68780695;-1,05065105
1;2009;"Ouest Loscolo";47,5;0;0;0,83489233;-1,68780695;-1,05065105
1;2009;"Point 1 Boulogne";50,75;1,5;0;0,862267855;-0,86281085;0,022821898
1;2009;"Teychan bis";44,75;0;0;0,889307665;-0,7564189;-0,44426173
1;2009;"les Hébihens";48,75;0;0;0,861688015;-0,920592665;0,037485651
1;2010;"Antifer ponton pétrolier";49,75;0,25;0;0,781392575;-2,540941;0,232381795
1;2010;"Arcachon - Bouée 7";44,5;0;0;0,9915463;0,123422845;-0,1573382
1;2010;"At so";50,25;1,5;0;0,75075155;-2,52162985;0,0517244265
1;2010;"Auger";45,75;0;0;0,958250025;-0,833612525;-0,80611405
1;2010;"Cabourg";49,25;0;0;0,855080665;-1,2601606;0,47723504
1;2010;"Le Cornard";46;0;0;0,9615766;-1,03581115;-0,82031668
1;2010;"Loguivy";48,75;0;0;0,915782885;-0,766591675;-0,21074007
1;2010;"Men er Roue";47,5;0;0;0,93072195;-0,551897685;-1,0265388
1;2010;"Ouest Loscolo";47,5;0;0;0,93072195;-0,551897685;-1,0265388
1;2010;"Point 1 Boulogne";50,75;1,5;0;0,762013045;-2,6641911;-0,236304785
1;2010;"Teychan bis";44,75;0;0;0,99102743;-0,04412934;-0,37037755
1;2010;"les Hébihens";48,75;0;0;0,915782885;-0,766591675;-0,21074007
1;2011;"Antifer ponton pétrolier";49,75;0,25;0;0,98435905;2,23915635;5,27931785
