"Week";"Year";"Code_point_Libelle";"latitude";"longitude";"ssr";"tcc";"u10";"v10"
1;2007;"Antifer ponton pétrolier";49,75;0,25;0;0,931362825;6,8635683;3,9105192
1;2007;"Arcachon - Bouée 7";44,5;0;0;0,79880365;1,9364964;1,43009635
1;2007;"At so";50,25;1,5;0;0,9577007;6,9219603;2,62280635
1;2007;"Auger";45,75;0;0;0,971190095;2,3664321;1,93615155
1;2007;"Cabourg";49,25;0;0;0,919750365;3,9580886;2,7215717
1;2007;"Le Cornard";46;0;0;0,9808341;2,6659272;1,9784796
1;2007;"Loguivy";48,75;0;0;0,98062044;3,38641085;2,59552825
1;2007;"Men er Roue";47,5;0;0;0,93197318;3,4532793;2,0918247
1;2007;"Ouest Loscolo";47,5;0;0;0,93197318;3,4532793;2,0918247
1;2007;"Point 1 Boulogne";50,75;1,5;0;0,966642735;7,7898371;2,3119304
1;2007;"Teychan bis";44,75;0;0;0,8772527;1,8446701;1,5500258
1;2007;"les Hébihens";48,75;0;0;0,98062044;3,38641085;2,59552825
1;2008;"Antifer ponton pétrolier";49,75;0,25;2,3283064e-10;0,899134785;0,46945157;2,8827335
1;2008;"Arcachon - Bouée 7";44,5;0;2,3283064e-10;0,96884013;0,8213736;2,05383015
1;2008;"At so";50,25;1,5;2,3283064e-10;0,8712099;-0,008927148;2,21327045
1;2008;"Auger";45,75;0;2,3283064e-10;0,98499992;-0,32653924;3,0132694
1;2008;"Cabourg";49,25;0;2,3283064e-10;0,9575786;-0,469170605;1,843574
1;2008;"Le Cornard";46;0;2,3283064e-10;0,993163765;0,2023241;2,72562405
1;2008;"Loguivy";48,75;0;2,3283064e-10;0,98437427;-0,536810215;1,7424086
1;2008;"Men er Roue";47,5;0;2,3283064e-10;0,97582895;-1,0735158;1,5405441
1;2008;"Ouest Loscolo";47,5;0;2,3283064e-10;0,97582895;-1,0735158;1,5405441
1;2008;"Point 1 Boulogne";50,75;1,5;2,3283064e-10;0,88624055;-0,699537385;2,2225945
1;2008;"Teychan bis";44,75;0;2,3283064e-10;0,97943023;0,464059985;2,1997507
1;2008;"les Hébihens";48,75;0;2,3283064e-10;0,98437427;-0,536810215;1,7424086
1;2009;"Antifer ponton pétrolier";49,75;0,25;0;0,80783725;-5,4298685;-1,54188665
1;2009;"Arcachon - Bouée 7";44,5;0;0;0,86284775;-0,36891377;-0,96180591
1;2009;"At so";50,25;1,5;0;0,80396138;-3,16582955;-1,79030795
1;2009;"Auger";45,75;0;0;0,84555873;-2,22756265;-2,7158494
1;2009;"Cabourg";49,25;0;0;0,88398213;-2,74805775;-0,92816555
1;2009;"Le Cornard";46;0;0;0,89806664;-3,1167607;-3,10443875
1;2009;"Loguivy";48,75;0;0;0,9546946;-2,0675161;-1,62426245
1;2009;"Men er Roue";47,5;0;0;0,918438045;-3,2281972;-1,9938753
1;2009;"Ouest Loscolo";47,5;0;0;0,918438045;-3,2281972;-1,9938753
1;2009;"Point 1 Boulogne";50,75;1,5;0;0,900035085;-2,18399705;-2,148276
1;2009;"Teychan bis";44,75;0;0;0,897029;-0,5739017;-1,02606765
1;2009;"les Hébihens";48,75;0;0;0,9546946;-2,0675161;-1,62426245
1;2010;"Antifer ponton pétrolier";49,75;0,25;0;0,620969585;-1,4379363;-0,29311529
1;2010;"Arcachon - Bouée 7";44,5;0;0;0,99192775;0,059809813;-0,89701082
1;2010;"At so";50,25;1,5;0;0,526559145;-0,0208424261;-0,39253364
1;2010;"Auger";45,75;0;0;0,928265155;-1,07045745;-0,910645375
1;2010;"Cabourg";49,25;0;0;0,551050605;-0,488852605;0,090355563
1;2010;"Le Cornard";46;0;0;0,93325498;-1,27606395;-1,15833915
1;2010;"Loguivy";48,75;0;0;0,750934625;-0,43716702;-0,46581918
1;2010;"Men er Roue";47,5;0;0;0,751957025;-0,39400102;-1,503747
1;2010;"Ouest Loscolo";47,5;0;0;0,751957025;-0,39400102;-1,503747
1;2010;"Point 1 Boulogne";50,75;1,5;0;0,55791738;0,22622606;-1,27196015
1;2010;"Teychan bis";44,75;0;0;0,99368255;-0,159427965;-0,894738435
1;2010;"les Hébihens";48,75;0;0;0,750934625;-0,43716702;-0,46581918
1;2011;"Antifer ponton pétrolier";49,75;0,25;0;0,973463745;0,7326246;4,5219755
1;2011;"Arcachon - Bouée 7";44,5;0;0;0,971907285;-1,2583813;0,6545701
1;2011;"At so";50,25;1,5;0;0,975951035;0,76449016;3,82347215
1;2011;"Auger";45,75;0;0;0,9753254;-1,55166225;0,555384275
1;2011;"Cabourg";49,25;0;0;0,9700609;0,281196195;3,4649744
1;2011;"Le Cornard";46;0;0;0,96816874;-1,6549302;0,36709941
1;2011;"Loguivy";48,75;0;0;0,98936415;0,141341885;3,16825745
1;2011;"Men er Roue";47,5;0;0;0,982604185;-0,824655935;1,84227795
1;2011;"Ouest Loscolo";47,5;0;0;0,982604185;-0,824655935;1,84227795
1;2011;"Point 1 Boulogne";50,75;1,5;0;0,96117988;1,184053;2,8164842
