Scopus-10-Analyze-Year

"Your query : (ALL(""Dinophysis""))"


Number of results : 10

"YEAR",
"2025","59"
"2024","243"
"2023","267"
"2022","229"
"2021","258"
"2020","229"
"2019","190"
"2018","205"
"2017","182"
"2016","187"
"2015","186"
"2014","185"
"2013","166"
"2012","183"
"2011","144"
"2010","146"
"2009","124"
"2008","150"
"2007","123"
"2006","111"
"2005","102"
"2004","78"
"2003","62"
"2002","66"
"2001","59"
"2000","58"
"1999","74"
"1998","50"
"1997","48"
"1996","41"
"1995","36"
"1994","30"
"1993","21"
"1992","34"
"1991","16"
"1990","12"
"1989","9"
"1988","9"
"1987","4"
"1986","10"
"1985","3"
"1984","1"
"1983","7"
"1982","4"
"1981","1"
"1980","4"
"1977","4"
"1976","3"
"1975","1"
"1974","2"
"1973","2"
"1972","2"
