Scopus-10-Analyze-Year

"Your query : (ALL(""Ornithocercus""))"


Number of results : 10

"YEAR",
"2025","1"
"2024","4"
"2023","8"
"2022","5"
"2021","3"
"2020","2"
"2019","2"
"2018","3"
"2017","2"
"2016","3"
"2015","2"
"2014","5"
"2013","4"
"2012","3"
"2011","7"
"2010","4"
"2009","3"
"2008","8"
"2007","3"
"2006","2"
"2005","2"
"2004","1"
"2003","1"
"2001","2"
"2000","1"
"1999","3"
"1998","1"
"1997","1"
"1996","1"
"1995","2"
"1994","2"
"1986","1"
"1985","1"
"1980","2"
"1975","1"
"1973","1"
"1971","1"
