Scopus-10-Analyze-Year

"Your query : (ALL(""Protoperidinium""))"


Number of results : 10

"YEAR",
"2025","11"
"2024","68"
"2023","77"
"2022","58"
"2021","63"
"2020","79"
"2019","69"
"2018","64"
"2017","59"
"2016","47"
"2015","57"
"2014","52"
"2013","69"
"2012","50"
"2011","52"
"2010","44"
"2009","44"
"2008","46"
"2007","42"
"2006","28"
"2005","28"
"2004","36"
"2003","29"
"2002","32"
"2001","13"
"2000","32"
"1999","20"
"1998","17"
"1997","27"
"1996","19"
"1995","12"
"1994","12"
"1993","7"
"1992","9"
"1991","8"
"1990","4"
"1988","5"
"1987","4"
"1986","7"
"1985","5"
"1984","3"
"1983","3"
"1982","3"
"1981","1"
"1980","1"
"1979","1"
"1978","1"
"1977","2"
"1976","2"
"1937","1"
